enc_frame_num: 0
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3b
MB cbp: 3
MB cbp: 7
MB cbp: f
MB cbp: 1e
MB cbp: 3f
MB cbp: 2f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3
MB cbp: 7
MB cbp: f
MB cbp: 1f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 37
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 37
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 2f
MB cbp: f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 1f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 37
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
